word,pos,meaning,level,source
advertise,v.,"vt. 做廣告, 通知, 公布；vi. 做廣告",3,CEEC-108
advertisement,n.,"n. 廣告, 啟事, 廣告宣傳；[法] 廣告, 公告, 告示",3,CEEC-108
advice,n.,勸告；消息,2,CEEC-108
advise,v.,勸告；忠告；通知,3,CEEC-108
adviser,n.,"n. 顧問, 勸告者, 指導教師；[法] 顧問, 勸告者",3,CEEC-108
advisor,n.,"n. 顧問, 勸告者, 指導教師",3,CEEC-108
advisory,adj.,提供忠告的,6,CEEC-108
advocate,n./v.,提倡者；擁護,5,CEEC-108
aesthetic,adj.,美感的,6,CEEC-108
affair,n.,事情；事件,2,CEEC-108
affect,v.,影響；使感動,2,CEEC-108
affection,n.,愛情,5,CEEC-108
affectionate,adj.,"a. 深情的, 充滿情愛的",6,CEEC-108
affiliate,n.,"vt. 使緊密聯繫, 使附屬, 接納, 收養；vi. 發生聯繫, 參加",6,CEEC-108
affirm,v.,"v. 斷言, 確認",6,CEEC-108
afford,v.,類得起；承擔得起,3,CEEC-108
afraid,adj.,害怕的,1,CEEC-108
after,adv./conj./prep.,在…之後；以後的,1,CEEC-108
afternoon,n.,下午,1,CEEC-108
afterward,adv.,"adv. 然後, 後來",3,CEEC-108
afterwards,adv.,"adv. 然後, 後來",3,CEEC-108
again,adv.,再一次,1,CEEC-108
against,prep.,反對；對著,2,CEEC-108
age,n./v.,年齡；使變老,1,CEEC-108
agency,n.,代理機構；仲介,4,CEEC-108
agenda,n.,議程,5,CEEC-108
agent,n.,代理人；仲介人,4,CEEC-108
aggression,n.,侵略,5,CEEC-108
aggressive,adj.,好鬥的；積極的,4,CEEC-108
ago,adv.,在～以前,1,CEEC-108
agony,n.,痛苦,5,CEEC-108
agree,v.,"vi. 同意, 贊成, 應允, 適合；vt. 承認, 認定, 同意",1,CEEC-108
agreeable,adj.,"a. 令人愉快的, 同意的；[醫] 佳適的",4,CEEC-108
agreement,n.,"n. 同意, 合約, 協議；[經] 契約, 協議, 協定",1,CEEC-108
agricultural,adj.,"a. 農業的；[法] 農業的, 耕作的",5,CEEC-108
agriculture,n.,農業,3,CEEC-108
ahead,adv.,在·前面；領先,2,CEEC-108
aid,n./v.,幫助,2,CEEC-108
aim,n./v.,目標；瞄準,2,CEEC-108
air,n.,空氣；大氣；天空,1,CEEC-108
aircraft,n.,航空器；飛機,2,CEEC-108
airline,n.,航線；航空公司,3,CEEC-108
airplane,n.,飛機,1,CEEC-108
airport,n.,機場；航空站,1,CEEC-108
airtight,adj.,"a. 氣密的, 不透氣的, 無懈可擊的；[機] 氣密, 不透氣",6,CEEC-108
airway,n.,航空公司；航線,6,CEEC-108
aisle,n.,通道,5,CEEC-108
alarm,n./v.,警報；驚恐,2,CEEC-108
album,n.,一套唱片；相簿,2,CEEC-108
alcohol,n.,酒精,4,CEEC-108
alcoholic,adj./n.,酒精飲料；含酒精的,5,CEEC-108
alert,adj./n./v.,警覺的；警戒,4,CEEC-108
algebra,n.,代數,6,CEEC-108
alien,adj./n.,外國的,5,CEEC-108
alienate,v.,使不和,6,CEEC-108
align,v.,"vi. 排列, 排成一行, 結盟；vt. 使結盟, 使成一行, 校正",6,CEEC-108
alike,adj./adv.,相同的,2,CEEC-108
alive,adj.,活著的；有活力的,2,CEEC-108
all,adj./adv./n./pron.,全部的；全體,1,CEEC-108
allege,v.,聲稱,6,CEEC-108
allergic,adj.,"a. 對...過敏的, 極反感的；[醫] 變應性的",5,CEEC-108
allergy,n.,過敏性反應,5,CEEC-108
alley,n.,小巷子；小徑,3,CEEC-108
alliance,n.,聯盟,5,CEEC-108
alligator,n.,n. 短吻鱷；[機] 兩棲裝甲車,6,CEEC-108
allocate,v.,撥給,5,CEEC-108
allow,v.,允許,1,CEEC-108
allowance,n.,"n. 津貼, 零用錢, 限額, 折扣, 允許；vt. 定量供應",4,CEEC-108
ally,n./v.,"n. 同盟者, 同盟國, 助手；vt. 使聯盟, 使聯合, 使有關係；vi. 結盟",5,CEEC-108
almond,n.,n. 杏仁；[化] 杏仁,3,CEEC-108
almost,adv.,幾乎,1,CEEC-108
alone,adj./adv.,單獨的,2,CEEC-108
along,adv./prep.,沿著；一起,1,CEEC-108
alongside,adv./prep.,靠著…旁邊,5,CEEC-108
aloud,adv.,大聲地,2,CEEC-108
alphabet,n.,字母系統,3,CEEC-108
already,adv.,已經；先前,1,CEEC-108
also,adv.,同樣地,1,CEEC-108
alter,v.,v. 改變,5,CEEC-108
alternate,adj./n./v.,輪流的,5,CEEC-108
alternative,adj./n.,替代的；二擇一的,4,CEEC-108
although,conj.,雖然；然而,1,CEEC-108
altitude,n.,高度,6,CEEC-108
altogether,adv.,完全；總而言之,2,CEEC-108
aluminum,n.,鋁,6,CEEC-108
always,adv.,總是；永遠,1,CEEC-108
am,adv.,"be的單數第一人稱；[計] 存取管理程式, 尋址方式, 地址標記, 變址數, 調幅, 輔助存儲器",1,CEEC-108
amateur,adj./n.,業餘從事者；業餘的,4,CEEC-108
amaze,v.,vt. 使吃驚,3,CEEC-108
amazement,n.,"n. 驚愕, 驚異",3,CEEC-108
ambassador,n.,大使；使節,3,CEEC-108
ambiguity,n.,意義含糊,6,CEEC-108
ambiguous,adj.,含糊的,4,CEEC-108
ambition,n.,抱負；志向,3,CEEC-108
ambitious,adj.,野心勃勃的,4,CEEC-108
ambulance,n.,救護車,3,CEEC-108
amend,v.,修改,5,CEEC-108
amid,prep.,在…當中,6,CEEC-108
amidst,prep.,prep. 在...當中,6,CEEC-108
among,prep.,在…之中,2,CEEC-108
amount,n./v.,共計；總數,2,CEEC-108
ample,adj.,"a. 大量的, 充足的, 豐富的",5,CEEC-108
amplify,v.,"vt. 增強, 放大, 擴大, 詳述；vi. 引伸",6,CEEC-108
amuse,v.,"vt. 消遣, 娛樂, 使發笑",4,CEEC-108
amusement,n.,"n. 興味, 娛樂, 消遣；[法] 娛樂, 娛樂活動",4,CEEC-108
an,art.,art. 一,1,CEEC-108
analogy,n.,相似,6,CEEC-108
analysis,n.,分析,4,CEEC-108
analyst,n.,分析家,5,CEEC-108
analytical,adj.,"a. 分析的, 善於分析的, 解析的；[機] 分析的",6,CEEC-108
analyze,v.,"vt. 分析, 細察, 分解；[機] 分析",4,CEEC-108
ancestor,n.,祖先,4,CEEC-108
anchor,n./v.,"n. 錨；vt. 拋錨停泊, 使固定；[計] 錨",6,CEEC-108
ancient,adj.,古代的,2,CEEC-108
and,conj.,"conj. 和, 與；[計] 與",1,CEEC-108
angel,n.,天使,3,CEEC-108
anger,n.,生氣,2,CEEC-108
angle,n.,n角度；立場,2,CEEC-108
angry,adj.,生氣的,1,CEEC-108
animal,n.,動物,1,CEEC-108
animate,adj./v.,"vt. 使有生氣, 賦予生命；a. 有生命的, 有生氣的",6,CEEC-108
ankle,n.,足踝,2,CEEC-108
anniversary,n.,週年紀念,4,CEEC-108
announce,v.,"vt. 宣布, 聲稱, 顯示, 預告；vi. 當報幕員, 宣布參加競選",3,CEEC-108
announcement,n.,"n. 公告, 發表, 告知；[經] 通告, 布告, 公告",3,CEEC-108
annoy,v.,"vt. 使惱怒, 騷擾",4,CEEC-108
annoyance,n.,"n. 煩惱, 打擾, 可厭之事；[法] 使人煩惱的事物, 麻煩事, 討厭物",6,CEEC-108
annual,adj.,一年一度的,4,CEEC-108
anonymous,adj.,不具名的,5,CEEC-108
another,adj./pron.,另一個,1,CEEC-108
answer,n./v.,答案,1,CEEC-108
ant,n.,螞蟻,1,CEEC-108
anthem,n.,聖歌,6,CEEC-108
antibiotic,adj./n.,抗生素,6,CEEC-108
anticipate,v.,"vt. 預期, 佔先, 加速, 提前使用；[醫] 提前出現, 先期發生",5,CEEC-108
anticipation,n.,期盼,6,CEEC-108
antique,adj./n.,年代久遠的,5,CEEC-108
antonym,n.,n. 反義詞,6,CEEC-108
anxiety,n.,焦慮,4,CEEC-108
anxious,adj.,焦慮的,3,CEEC-108
any,adj./adv./pron.,任何的；若干,1,CEEC-108
anybody,pron.,pron. 任何人；n. 重要人物,1,CEEC-108
anyhow,adv.,無論如何,3,CEEC-108
anyone,pron.,pron. 任何人,1,CEEC-108
anyplace,adv.,adv. 在任何地方,2,CEEC-108
anything,pron.,pron. 任何事,1,CEEC-108
anytime,adv.,adv. 任何時候；無例外地,2,CEEC-108
anyway,adv.,無論如何,2,CEEC-108
anywhere,adv.,adv. 無論何處,2,CEEC-108
apart,adv.,分開的,3,CEEC-108
apartment,n.,公寓大樓,1,CEEC-108
ape,n.,大猩猩,2,CEEC-108
apologize,v.,道歉,3,CEEC-108
apology,n.,道歉,4,CEEC-108
apparent,adj.,明顯的,4,CEEC-108
appeal,n./v.,吸引；呼籲,3,CEEC-108
appear,v.,出現；顯露,1,CEEC-108
appearance,n.,外貌；顯露,2,CEEC-108
appetite,n.,胃口；食慾,2,CEEC-108
applaud,v.,鼓掌,6,CEEC-108
applause,n.,掌聲,5,CEEC-108
apple,n.,"n. 蘋果, 傢夥；[醫] 蘋果",1,CEEC-108
appliance,n.,器具；裝備,5,CEEC-108
applicable,adj.,適用的,6,CEEC-108
applicant,n.,申請人,4,CEEC-108
application,n.,應用；申請書,4,CEEC-108
apply,v.,應用；申請,2,CEEC-108
appoint,v.,任命；指派,4,CEEC-108
appointment,n.,約定；指派,4,CEEC-108
appreciate,v.,欣賞；感激,2,CEEC-108
appreciation,n.,欣賞；感謝,4,CEEC-108
apprentice,n.,學徒,6,CEEC-108
approach,n./v.,接近；著手處理,2,CEEC-108
appropriate,adj.,適當的,4,CEEC-108
approval,n.,同意；認可,4,CEEC-108
approve,v.,同意；認可,3,CEEC-108
approximate,adj./v.,"a. 大約的, 接近的, 近似的；vt. 接近, 使接近, 粗略估計；vi. 接近於",6,CEEC-108
apron,n.,圍裙；工作裙,3,CEEC-108
apt,adj.,有…傾向的,5,CEEC-108
aquarium,n.,水族館,4,CEEC-108
arch,n./v.,拱門；拱形,4,CEEC-108
archaeology,n.,考古學,6,CEEC-108
architect,n.,建築師；設計師,5,CEEC-108
architecture,n.,建築學；建築風格,5,CEEC-108
archive,n.,檔案,6,CEEC-108
area,n.,區域；範圍,1,CEEC-108
arena,n.,活動場所(供運動、娛樂的),5,CEEC-108
argue,v.,"vi. 提出理由, 爭論, 辯論；vt. 主張, 辯論, 證明, 說服",2,CEEC-108
argument,n.,"n. 爭論, 論證, 論據, 自變量；[計] 參數",2,CEEC-108
arise,v.,升起；復活,4,CEEC-108
arithmetic,adj./n.,算術的,6,CEEC-108
arm,n./v.,手臂,1,CEEC-108
armed,adj.,武裝的,3,CEEC-108
arms,n.,"n. 武器, 軍事行動；[機] 武器, 軍械, 槍械",4,CEEC-108
army,n.,軍隊；團體,2,CEEC-108
around,adv./prep.,各處；大約,1,CEEC-108
arouse,v.,喚起,5,CEEC-108
arrange,v.,"v. 安排, 排列, 達成協議；[計] 重排",2,CEEC-108
arrangement,n.,"n. 排列, 整齊, 安排；[計] 排列",2,CEEC-108
array,n.,一長列,5,CEEC-108
arrest,n./v.,逮捕；拘留,3,CEEC-108
arrival,n.,到達；到達者,2,CEEC-108
arrive,v.,到達；抵達,1,CEEC-108
arrogant,adj.,傲慢的,5,CEEC-108
arrow,n.,箭,2,CEEC-108
art,n.,藝術；藝術品,1,CEEC-108
article,n.,文章；冠詞,2,CEEC-108
articulate,adj./v.,清楚的表達,5,CEEC-108
artificial,adj.,人造的,4,CEEC-108
artist,n.,藝術家；藝人,2,CEEC-108
artistic,adj.,藝術的,4,CEEC-108
as,adv./conj./prep.,/conj 如同；當…時；雖然,1,CEEC-108
ascend,v.,"vi. 上升, 追溯, 登高；vt. 攀登",6,CEEC-108
ash,n.,灰燼；骨灰,3,CEEC-108
ashamed,adj.,感到羞恥的,4,CEEC-108
aside,adv.,在旁邊；除…之外,3,CEEC-108
ask,v.,詢問；要求,1,CEEC-108
asleep,adj.,睡著的,2,CEEC-108
aspect,n.,方面；觀點,4,CEEC-108
aspire,v.,"vi. 渴望, 立志於",6,CEEC-108
aspirin,n.,阿斯匹靈,4,CEEC-108
ass,n.,驢；蠢人,5,CEEC-108
assassinate,v.,行刺,6,CEEC-108
assault,n./v.,攻擊,5,CEEC-108
assemble,v.,集合,4,CEEC-108
assembly,n.,與會者；議會,4,CEEC-108
assert,v.,"vt. 主張, 堅稱, 斷言；[法] 宣稱, 斷言, 維護",5,CEEC-108
assess,v.,"vt. 估定, 對...徵稅, 評定；[經] 估計, 估價, 確定(稅款罰款等)的金額",5,CEEC-108
assessment,n.,"n. 評估, 估定, 評定的款額；[化] 評估",5,CEEC-108
asset,n.,資產,5,CEEC-108
assign,v.,"vt. 分配, 指派, 賦值；[計] 賦值",4,CEEC-108
assignment,n.,"n. 分配, 功課, 任務, 轉讓, 歸因, 陳述；[計] 賦值",4,CEEC-108
assist,v.,協助,3,CEEC-108
assistance,n.,協助,4,CEEC-108
assistant,n.,助理,3,CEEC-108
associate,adj./n./v.,關聯,4,CEEC-108
association,n.,協會；聯想；合作,4,CEEC-108
assume,v.,假定；假裝,3,CEEC-108
assumption,n.,"n. 假定, 自負, 擔任, 假裝；[經] 假定, 承擔",5,CEEC-108
assurance,n.,保證,4,CEEC-108
assure,v.,保證,4,CEEC-108
asthma,n.,n. 哮喘；[醫] 氣喘,6,CEEC-108
astonish,v.,使驚訝,5,CEEC-108
astonishment,n.,"n. 驚異, 驚愕, 使人驚異的事物",5,CEEC-108
astray,adj./adv.,"adv. 迷途地, 入歧途地；[法] 誤入歧途地, 離開正道地",6,CEEC-108
astronaut,n.,太空人,6,CEEC-108
astronomer,n.,n. 天文學家,6,CEEC-108
astronomy,n.,天文學,6,CEEC-108
at,prep.,"prep. 在, 向, 對；[計] 地址轉換器, 異常傳輸, 自動訂票",1,CEEC-108
athlete,n.,運動員,3,CEEC-108
athletic,adj.,運動的,4,CEEC-108
athletics,n.,n. 體育運動,5,CEEC-108
atmosphere,n.,氣壓；氣氛,4,CEEC-108
atom,n.,"n. 原子, 核能, 微粒, 微量；[計] 原子",4,CEEC-108
atomic,adj.,"a. 原子的, 原子能的；[醫] 原子的",4,CEEC-108
attach,v.,"vt. 附上, 使依附, 使附屬, 使喜愛, 系, 縛；vi. 附屬, 歸屬, 聯繫在一起；[計] 掛接伺服器命令, 關聯, 掛接, 附加",4,CEEC-108
attachment,n.,"n. 連接, 附屬物, 連接物, 愛慕；[計] 附加, 附件",4,CEEC-108
attack,n./v.,攻擊,1,CEEC-108
attain,v.,"vt. 達到, 獲得；vi. 達到",6,CEEC-108
attainment,n.,達到,6,CEEC-108
attempt,n./v.,嘗試,2,CEEC-108
attend,v.,參加,2,CEEC-108
attendance,n.,"n. 出席, 出席的人數, 照料；[法] 管理, 照料, 資助",5,CEEC-108
attendant,n.,服務員,6,CEEC-108
attention,n.,注意力,2,CEEC-108
attic,n.,閣樓,5,CEEC-108
attitude,n.,態度,3,CEEC-108
attorney,n.,"n. 代理人, 律師；[經] 律師, 代理人",5,CEEC-108
attract,v.,吸引；引誘,3,CEEC-108
attraction,n.,吸引力,4,CEEC-108
attractive,adj.,有吸引力的,3,CEEC-108
attribute,v.,"n. 屬性, 標誌, 定語；vt. 把...歸於, 認為...屬於；[計] 屬性",5,CEEC-108
auction,n./v.,拍賣,5,CEEC-108
audience,n.,觀眾；聽眾,3,CEEC-108
audio,adj.,可聽頻率的,4,CEEC-108
audit,n.,"n. 審計, 查帳；vt. 查(帳), 旁聽；vi. 查帳；[計] 查帳; 審查; 檢查",6,CEEC-108
auditorium,n.,禮堂,6,CEEC-108
aunt,n.,姑媽；阿姨,1,CEEC-108
authentic,adj.,"a. 可靠的, 可信的, 真正的；[法] 被認證的, 確認的, 可信的",4,CEEC-108
author,n./v.,作者,2,CEEC-108
authority,n.,權力；當局,4,CEEC-108
authorize,v.,"vt. 授權, 批准, 委託；[經] 授權, 委任, 認可",5,CEEC-108
auto,n.,"n. 汽車；pref. 表示""自己""、""本身"", 表示""自己的"", 表示""自動的""",3,CEEC-108
autobiography,n.,自傳,4,CEEC-108
autograph,n./v.,"n. 親筆, 親筆籤名, 手稿；vt. 親筆籤名於, 親筆寫",4,CEEC-108
automatic,adj.,自動的,3,CEEC-108
automobile,n.,n. 汽車；[機] 汽車,3,CEEC-108
autonomy,n.,自治(權),5,CEEC-108
available,adj.,"a. 可利用的, 可獲得的, 有效的；[醫] 有效的, 可得的",2,CEEC-108
avenue,n.,大道,3,CEEC-108
average,adj./n./v.,平均的,2,CEEC-108
avert,v.,"vt. 轉開, 避免, 防止",6,CEEC-108
aviation,n.,航空(學),6,CEEC-108
avoid,v.,避免；躲開,2,CEEC-108
await,v.,等候；期待,4,CEEC-108
awake,adj./v.,清醒的；喚醒,3,CEEC-108
awaken,v.,意識到；使覺醒,3,CEEC-108
award,n./v.,/n授予；獎品,3,CEEC-108
aware,adj.,"a. 知道的, 有覺悟的",3,CEEC-108
away,adv.,離開；不在,1,CEEC-108
awe,n./v.,n. 敬畏；vt. 使敬畏,5,CEEC-108
awesome,adj.,"a. 引起敬畏的, 可怕的",6,CEEC-108
awful,adj.,糟透的,3,CEEC-108
awhile,adv.,"adv. 片刻, 一會兒",6,CEEC-108
awkward,adj.,笨拙的；棘手的,3,CEEC-108
baby,n.,嬰兒；寶貝,1,CEEC-108
bachelor,n.,單身漢；學士,6,CEEC-108
back,adj./adv./n./v.,後面的；背部；贊助,1,CEEC-108
backbone,n.,"n. 脊椎, 志氣, 骨幹, 支柱；[計] 主幹網, 主幹網點",6,CEEC-108
background,n.,背景,3,CEEC-108
backpack,n./v.,"n. 遠足用的背包；雙肩背包, 背包",2,CEEC-108
backward,adj./adv.,"adv. 向後地, 相反地；a. 向後的, 相反的；[計] 倒推",2,CEEC-108
backwards,adv.,adv. 向後,2,CEEC-108
backyard,n.,"n. 後院, 後庭",5,CEEC-108
bacon,n.,燻豬肉；培根肉,3,CEEC-108
bacteria,n.,細菌,3,CEEC-108
bad,adj.,不好的；有害的,1,CEEC-108
badge,n.,"n. 徽章, 標記；[計] 標記",6,CEEC-108
badly,adv.,"adv. 嚴重地, 惡劣地, 極度地",3,CEEC-108
badminton,n.,羽毛球,2,CEEC-108
bag,n.,袋子,1,CEEC-108
baggage,n.,行李；裝備,3,CEEC-108
bait,n./v.,誘餌；引誘,3,CEEC-108
bake,v.,烘；烤,2,CEEC-108
bakery,n.,麵包店,2,CEEC-108
balance,n./v.,平衡,2,CEEC-108
balcony,n.,陽臺；樓座,2,CEEC-108
bald,adj.,禿的,4,CEEC-108
ball,n./v.,球；球狀體,1,CEEC-108
ballet,n.,芭蕾舞,4,CEEC-108
balloon,n.,氣球,2,CEEC-108
ballot,n./v.,無記名投票,5,CEEC-108
bamboo,n.,竹子,3,CEEC-108
ban,n./v.,禁止,5,CEEC-108
banana,n.,香蕉,1,CEEC-108
band,n.,帶子；樂團,1,CEEC-108
bandage,n./v.,繃帶,4,CEEC-108
bang,adv./n./v.,"n. 重擊, 突然巨響, 劉海；v. 發巨響, 重擊；adv. 砰然地, 突然巨響地, 直接地；[計] 撞擊符",3,CEEC-108
bank,n./v.,(1)n.銀行,1,CEEC-108
banker,n.,銀行家,3,CEEC-108
bankrupt,adj./n./v.,破產的,4,CEEC-108
banner,n.,"n. 旗幟；a. 顯著的, 特別好的",5,CEEC-108
banquet,n./v.,宴會,6,CEEC-108
bar,n./v.,棒；沙洲；酒吧,2,CEEC-108
barbarian,adj./n.,野蠻人,6,CEEC-108
barbecue,n./v.,烤肉,2,CEEC-108
barber,n.,理髮師,2,CEEC-108
bare,adj./v.,裸的；不加掩飾的,3,CEEC-108
barely,adv.,勉強地；露骨地,3,CEEC-108
bargain,n./v.,買賣；便宜貨,4,CEEC-108
bark,n./v.,吠叫；咆哮,2,CEEC-108
barn,n.,n. 穀倉；[化] 靶(恩)(核反應截面單位),3,CEEC-108
barrel,n.,大桶,3,CEEC-108
barren,adj.,"a. 不育的, 貧瘠的；n. 荒地",5,CEEC-108
barrier,n.,障礙物；棚欄,4,CEEC-108
base,n./v.,基礎,2,CEEC-108
baseball,n.,棒球,1,CEEC-108
basement,n.,地下室,3,CEEC-108
basic,adj.,基本的,2,CEEC-108
basics,n.,"n. 最簡單但最重要的部分, 基本, 基礎訓練",2,CEEC-108
basin,n.,臉盆；洗滌槽,4,CEEC-108
basis,n.,"n. 基礎, 主要成分；[化] 基底",2,CEEC-108
basket,n.,籃子；簍子,1,CEEC-108
basketball,n.,籃球,1,CEEC-108
bass,adj./n.,低音部,6,CEEC-108
bat,n./v.,球棒,1,CEEC-108
batch,n.,"n. 一次所烘的麵包, 一次所制之量, 一組, 批, 成批, 分批；v. 成批, 分批處理；[計] 一批",5,CEEC-108
bath,n.,澡缸；沐浴,1,CEEC-108
bathe,v.,洗澡；沐浴,2,CEEC-108
bathroom,n.,浴室,1,CEEC-108
batter,n./v.,毀損,6,CEEC-108
battery,n.,電池,4,CEEC-108
battle,n./v.,戰役,2,CEEC-108
bay,n.,海灣,3,CEEC-108
be,aux./v.,"v. 是, 表示, 在；[計] 後端, 總線允許",1,CEEC-108
beach,n./v.,海灘,1,CEEC-108
bead,n.,"n. 珠子, 滴；vt. 用珠裝飾；vi. 形成珠；[計] 珠",3,CEEC-108
beam,n./v.,樑；光束,3,CEEC-108
bean,n.,豆子,1,CEEC-108
bear,n./v.,熊；魯莽之人,1,CEEC-108
